Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,Points PF,Points.1 PA,Points.2 PD,Coaches,Top Players AV,Top Players.1 Passer,Top Players.2 Rusher,Top Players.3 Receiver,Off Rank Pts,Off Rank.1 Yds,Def Rank Pts,Def Rank.1 Yds,Overall Rank T/G,Overall Rank.1 Pts±,Overall Rank.2 Yds±,Overall Rank.3 out of,Simple Rating System MoV,Simple Rating System.1 SoS,Simple Rating System.2 SRS,Simple Rating System.3 OSRS,Simple Rating System.4 DSRS,Team
1994,NFL,Los Angeles Raiders,9,7,0,3rd of 5,,303,327,-24,Shell,McGlockton,Hostetler,Williams,Brown,19,19,17,10,22,15,14,28,-1.5,-0.1,-1.6,-1.9,0.3,Raiders
1993,NFL,Los Angeles Raiders*,10,6,0,2nd of 5,Lost Div,306,326,-20,Shell,Wisniewski,Hostetler,Robinson,Brown,14,13,21,9,18,18,10,28,-1.3,0.6,-0.7,1.1,-1.7,Raiders
1992,NFL,Los Angeles Raiders,7,9,0,4th of 5,,249,281,-32,Shell,Wisniewski,Schroeder,Dickerson,Brown,23,23,11,9,28,15,14,28,-2.0,0.4,-1.6,-3.2,1.5,Raiders
1991,NFL,Los Angeles Raiders*,9,7,0,3rd of 5,Lost WC,298,297,1,Shell,Lott,Schroeder,Craig,Fernandez,15,23,12,21,11,15,24,28,0.1,1.3,1.4,0.3,1.1,Raiders
1990,NFL,Los Angeles Raiders*,12,4,0,1st of 5,Lost Conf,337,268,69,Shell,Townsend,Schroeder,Jackson,Gault,13,19,7,4,14,9,13,28,4.3,2.2,6.6,2.2,4.4,Raiders
1989,NFL,Los Angeles Raiders,8,8,0,3rd of 5,,315,297,18,ShellShanahan,Fernandez,Beuerlein,Jackson,Fernandez,18,19,10,10,16,13,16,28,1.1,0.7,1.8,0.0,1.9,Raiders
1988,NFL,Los Angeles Raiders,7,9,0,3rd of 5,,325,369,-44,Shanahan,Millen,Schroeder,Allen,Fernandez,16,19,23,19,12,18,21,28,-2.8,-0.8,-3.6,-0.3,-3.3,Raiders
1987,NFL,Los Angeles Raiders,5,10,0,4th of 5,,301,289,12,Flores,Long,Wilson,Allen,Lofton,17,7,8,5,16,11,3,28,0.8,-0.8,0.0,-1.6,1.7,Raiders
1986,NFL,Los Angeles Raiders,8,8,0,4th of 5,,323,346,-23,Flores,Pickel,Plunkett,Allen,Christensen,16,14,19,3,24,18,6,28,-1.4,1.6,0.2,0.0,0.2,Raiders
1985,NFL,Los Angeles Raiders*,12,4,0,1st of 5,Lost Div,354,308,46,Flores,Long,Wilson,Allen,Christensen,12,11,9,4,24,9,5,28,2.9,1.5,4.3,0.7,3.7,Raiders
1984,NFL,Los Angeles Raiders*,11,5,0,3rd of 5,Lost WC,368,278,90,Flores,Martin,Wilson,Allen,Christensen,9,15,4,3,27,6,5,28,5.6,1.2,6.9,2.1,4.8,Raiders
1983,NFL,Los Angeles Raiders*,12,4,0,1st of 5,Won SB,442,338,104,Flores,Martin,Plunkett,Allen,Christensen,3,7,13,4,23,5,2,28,6.5,0.3,6.8,5.1,1.7,Raiders
1982,NFL,Los Angeles Raiders*,8,1,0,1st of 5,Lost Div,260,200,60,Flores,Allen,Plunkett,Allen,Branch,2,10,22,22,5,6,16,28,6.7,-1.5,5.2,6.1,-0.9,Raiders
2022,NFL,Los Angeles Chargers,2,2,0,2nd of 4,,92,108,-16,Staley,,Herbert,Ekeler,Williams,12,7,30,20,8,22,11,32,-4.0,-0.7,-4.7,-5.6,0.9,Chargers
2021,NFL,Los Angeles Chargers,9,8,0,3rd of 4,,474,459,15,Staley,Herbert,Herbert,Ekeler,Williams,5,4,29,23,19,16,9,32,0.9,0.2,1.1,5.3,-4.2,Chargers
2020,NFL,Los Angeles Chargers,7,9,0,3rd of 4,,384,426,-42,Lynn,Herbert,Herbert,Ekeler,Allen,18,9,23,10,13,20,9,32,-2.6,-0.3,-2.9,-1.0,-2.0,Chargers
2019,NFL,Los Angeles Chargers,5,11,0,4th of 4,,337,345,-8,Lynn,Rivers,Rivers,Gordon,Allen,21,10,14,6,31,16,5,32,-0.5,-0.8,-1.3,-1.6,0.3,Chargers
2018,NFL,Los Angeles Chargers*,12,4,0,2nd of 4,Lost Div,428,329,99,Lynn,Rivers,Rivers,Gordon,Allen,6,11,8,9,15,7,6,32,6.2,-0.2,6.0,3.0,2.9,Chargers
2017,NFL,Los Angeles Chargers,9,7,0,2nd of 4,,355,272,83,Lynn,Rivers,Rivers,Gordon,Allen,13,4,3,15,3,9,6,32,5.2,-1.5,3.6,-0.3,4.0,Chargers
2016,NFL,San Diego Chargers,5,11,0,4th of 4,,410,423,-13,McCoy,Rivers,Rivers,Gordon,Williams,9,14,29,16,26,22,13,32,-0.8,0.9,0.1,3.0,-3.0,Chargers
2021,NFL,Los Angeles Rams*,12,5,0,1st of 4,Won SB,460,372,88,McVay,Kupp,Stafford,Michel,Kupp,7,9,15,17,13,6,12,32,5.2,0.1,5.3,4.2,1.1,Rams
2020,NFL,Los Angeles Rams*,10,6,0,2nd of 4,Lost Div,372,296,76,McVay,Donald,Goff,Akers,Kupp,22,11,1,1,21,10,1,32,4.8,0.7,5.4,-0.8,6.2,Rams
2019,NFL,Los Angeles Rams,9,7,0,3rd of 4,,394,364,30,McVay,Donald,Goff,Gurley,Kupp,11,7,17,13,15,12,8,32,1.9,2.0,3.9,2.2,1.7,Rams
2018,NFL,Los Angeles Rams*,13,3,0,1st of 4,Lost SB,527,384,143,McVay,Goff,Goff,Gurley,Woods,2,2,20,19,4,3,3,32,8.9,-0.4,8.5,9.5,-1.1,Rams
