,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,NFL,Los Angeles Raiders,9,7,0,3rd of 5,,303,327,-24,Shell,McGlockton,Hostetler,Williams,Brown,19,19,17,10,22,15,14,28,-1.5,-0.1,-1.6,-1.9,0.3
1993,NFL,Los Angeles Raiders*,10,6,0,2nd of 5,Lost Div,306,326,-20,Shell,Wisniewski,Hostetler,Robinson,Brown,14,13,21,9,18,18,10,28,-1.3,0.6,-0.7,1.1,-1.7
1992,NFL,Los Angeles Raiders,7,9,0,4th of 5,,249,281,-32,Shell,Wisniewski,Schroeder,Dickerson,Brown,23,23,11,9,28,15,14,28,-2.0,0.4,-1.6,-3.2,1.5
1991,NFL,Los Angeles Raiders*,9,7,0,3rd of 5,Lost WC,298,297,1,Shell,Lott,Schroeder,Craig,Fernandez,15,23,12,21,11,15,24,28,0.1,1.3,1.4,0.3,1.1
1990,NFL,Los Angeles Raiders*,12,4,0,1st of 5,Lost Conf,337,268,69,Shell,Townsend,Schroeder,Jackson,Gault,13,19,7,4,14,9,13,28,4.3,2.2,6.6,2.2,4.4
1989,NFL,Los Angeles Raiders,8,8,0,3rd of 5,,315,297,18,ShellShanahan,Fernandez,Beuerlein,Jackson,Fernandez,18,19,10,10,16,13,16,28,1.1,0.7,1.8,0.0,1.9
1988,NFL,Los Angeles Raiders,7,9,0,3rd of 5,,325,369,-44,Shanahan,Millen,Schroeder,Allen,Fernandez,16,19,23,19,12,18,21,28,-2.8,-0.8,-3.6,-0.3,-3.3
1987,NFL,Los Angeles Raiders,5,10,0,4th of 5,,301,289,12,Flores,Long,Wilson,Allen,Lofton,17,7,8,5,16,11,3,28,0.8,-0.8,0.0,-1.6,1.7
1986,NFL,Los Angeles Raiders,8,8,0,4th of 5,,323,346,-23,Flores,Pickel,Plunkett,Allen,Christensen,16,14,19,3,24,18,6,28,-1.4,1.6,0.2,0.0,0.2
1985,NFL,Los Angeles Raiders*,12,4,0,1st of 5,Lost Div,354,308,46,Flores,Long,Wilson,Allen,Christensen,12,11,9,4,24,9,5,28,2.9,1.5,4.3,0.7,3.7
1984,NFL,Los Angeles Raiders*,11,5,0,3rd of 5,Lost WC,368,278,90,Flores,Martin,Wilson,Allen,Christensen,9,15,4,3,27,6,5,28,5.6,1.2,6.9,2.1,4.8
1983,NFL,Los Angeles Raiders*,12,4,0,1st of 5,Won SB,442,338,104,Flores,Martin,Plunkett,Allen,Christensen,3,7,13,4,23,5,2,28,6.5,0.3,6.8,5.1,1.7
1982,NFL,Los Angeles Raiders*,8,1,0,1st of 5,Lost Div,260,200,60,Flores,Allen,Plunkett,Allen,Branch,2,10,22,22,5,6,16,28,6.7,-1.5,5.2,6.1,-0.9
