Year,Conf,Overall W,Overall L,Overall T,Overall Pct,Conference W,Conference L,Conference T,Conference Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
2022,Pac-12,9,3,0,0.75,2,0,0,1,14.38,-3.02,,18,,Chip Kelly (5-0),,
2021,Pac-12,8,4,0,0.667,6,3,0,0.667,7.25,-0.25,,13,,Chip Kelly (8-4),,
2020,Pac-12,3,4,0,0.429,3,4,0,0.429,-0.11,-2.97,,,,Chip Kelly (3-4),,
2019,Pac-12,4,8,0,0.333,4,5,0,0.444,-0.55,4.95,,,,Chip Kelly (4-8),,
2018,Pac-12,3,9,0,0.25,3,6,0,0.333,-2.19,6.73,,,,Chip Kelly (3-9),,
2017,Pac-12,6,7,0,0.462,4,5,0,0.444,0.64,4.41,,25,,Jim Mora (5-6) Jedd Fisch (1-1),Cactus Bowl-L,
2016,Pac-12,4,8,0,0.333,2,7,0,0.222,2.63,5.13,16,16,,Jim Mora (4-8),,
2015,Pac-12,8,5,0,0.615,5,4,0,0.556,8.73,4.27,13,7,,Jim Mora (8-5),Foster Farms Bowl-L,
2014,Pac-12,10,3,0,0.769,6,3,0,0.667,14.4,9.1,7,7,10,Jim Mora (10-3),Alamo Bowl-W,
2013,Pac-12,10,3,0,0.769,6,3,0,0.667,17.1,6.48,21,9,16,Jim Mora (10-3),Sun Bowl-W,
2012,Pac-12,9,5,0,0.643,6,3,0,0.667,8.75,4.75,,15,,Jim Mora (9-5),Holiday Bowl-L,
2011,Pac-12,6,8,0,0.429,5,4,0,0.556,-1.05,4.59,,,,Rick Neuheisel (6-6) Mike Johnson (0-2),Fight Hunger Bowl-L,
2010,Pac-10,4,8,0,0.333,2,7,0,0.222,0.62,7.29,,,,Rick Neuheisel (4-8),,
2009,Pac-10,7,6,0,0.538,3,6,0,0.333,3.8,3.26,,,,Rick Neuheisel (7-6),EagleBank Bowl-W,
2008,Pac-10,4,8,0,0.333,3,6,0,0.333,-3.98,3.61,,23,,Rick Neuheisel (4-8),,
2007,Pac-10,6,7,0,0.462,5,4,0,0.556,7.97,7.97,14,11,,Karl Dorrell (6-6) DeWayne Walker (0-1),Las Vegas Bowl-L,
2006,Pac-10,7,6,0,0.538,5,4,0,0.556,8.71,6.25,,,,Karl Dorrell (7-6),Emerald Bowl-L,
2005,Pac-10,10,2,0,0.833,6,2,0,0.75,11.22,3.81,,7,16,Karl Dorrell (10-2),Sun Bowl-W,
2004,Pac-10,6,6,0,0.5,4,4,0,0.5,9.61,6.2,,,,Karl Dorrell (6-6),Las Vegas Bowl-L,
2003,Pac-10,6,7,0,0.462,4,4,0,0.5,0.56,3.94,,,,Karl Dorrell (6-7),Silicon Valley Bowl-L,
2002,Pac-10,8,5,0,0.615,4,4,0,0.5,8.97,5.74,,20,,Bob Toledo (7-5) Ed Kezirian (1-0),Las Vegas Bowl-W,
2001,Pac-10,7,4,0,0.636,4,4,0,0.5,12.32,5.95,17,4,,Bob Toledo (7-4),,
2000,Pac-10,6,6,0,0.5,3,5,0,0.375,7.57,8.32,,6,,Bob Toledo (6-6),Sun Bowl-L,
1999,Pac-10,4,7,0,0.364,2,6,0,0.25,-2.01,3.62,16,14,,Bob Toledo (4-7),,
