Year,Conf,Overall W,Overall L,Overall T,Overall Pct,Conference W,Conference L,Conference T,Conference Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes,Team
2022,Pac-12,5,0,,1.0,2,0,0,1.0,14.38,-3.02,,18.0,,Chip Kelly (5-0),,,UCLA
2021,Pac-12,8,4,0.0,0.667,6,3,0,0.667,7.25,-0.25,,13.0,,Chip Kelly (8-4),,,UCLA
2020,Pac-12,3,4,0.0,0.429,3,4,0,0.429,-0.11,-2.97,,,,Chip Kelly (3-4),,,UCLA
2019,Pac-12,4,8,0.0,0.33299999999999996,4,5,0,0.444,-0.55,4.95,,,,Chip Kelly (4-8),,,UCLA
2018,Pac-12,3,9,0.0,0.25,3,6,0,0.33299999999999996,-2.19,6.73,,,,Chip Kelly (3-9),,,UCLA
2017,Pac-12,6,7,0.0,0.462,4,5,0,0.444,0.64,4.41,,25.0,,Jim Mora (5-6) Jedd Fisch (1-1),Cactus Bowl-L,,UCLA
2016,Pac-12,4,8,0.0,0.33299999999999996,2,7,0,0.222,2.63,5.13,16.0,16.0,,Jim Mora (4-8),,,UCLA
2015,Pac-12,8,5,0.0,0.615,5,4,0,0.556,8.73,4.27,13.0,7.0,,Jim Mora (8-5),Foster Farms Bowl-L,,UCLA
2014,Pac-12,10,3,0.0,0.769,6,3,0,0.667,14.4,9.1,7.0,7.0,10.0,Jim Mora (10-3),Alamo Bowl-W,,UCLA
2013,Pac-12,10,3,0.0,0.769,6,3,0,0.667,17.1,6.48,21.0,9.0,16.0,Jim Mora (10-3),Sun Bowl-W,,UCLA
2012,Pac-12,9,5,0.0,0.643,6,3,0,0.667,8.75,4.75,,15.0,,Jim Mora (9-5),Holiday Bowl-L,,UCLA
2011,Pac-12,6,8,0.0,0.429,5,4,0,0.556,-1.05,4.59,,,,Rick Neuheisel (6-6) Mike Johnson (0-2),Fight Hunger Bowl-L,,UCLA
2010,Pac-10,4,8,0.0,0.33299999999999996,2,7,0,0.222,0.62,7.29,,,,Rick Neuheisel (4-8),,,UCLA
2009,Pac-10,7,6,0.0,0.5379999999999999,3,6,0,0.33299999999999996,3.8,3.26,,,,Rick Neuheisel (7-6),EagleBank Bowl-W,,UCLA
2008,Pac-10,4,8,0.0,0.33299999999999996,3,6,0,0.33299999999999996,-3.98,3.61,,23.0,,Rick Neuheisel (4-8),,,UCLA
2007,Pac-10,6,7,0.0,0.462,5,4,0,0.556,7.97,7.97,14.0,11.0,,Karl Dorrell (6-6) DeWayne Walker (0-1),Las Vegas Bowl-L,,UCLA
2006,Pac-10,7,6,0.0,0.5379999999999999,5,4,0,0.556,8.71,6.25,,,,Karl Dorrell (7-6),Emerald Bowl-L,,UCLA
2005,Pac-10,10,2,0.0,0.833,6,2,0,0.75,11.22,3.81,,7.0,16.0,Karl Dorrell (10-2),Sun Bowl-W,,UCLA
2004,Pac-10,6,6,0.0,0.5,4,4,0,0.5,9.61,6.2,,,,Karl Dorrell (6-6),Las Vegas Bowl-L,,UCLA
2003,Pac-10,6,7,0.0,0.462,4,4,0,0.5,0.56,3.94,,,,Karl Dorrell (6-7),Silicon Valley Bowl-L,,UCLA
2002,Pac-10,8,5,0.0,0.615,4,4,0,0.5,8.97,5.74,,20.0,,Bob Toledo (7-5) Ed Kezirian (1-0),Las Vegas Bowl-W,,UCLA
2001,Pac-10,7,4,0.0,0.636,4,4,0,0.5,12.32,5.95,17.0,4.0,,Bob Toledo (7-4),,,UCLA
2000,Pac-10,6,6,0.0,0.5,3,5,0,0.375,7.57,8.32,,6.0,,Bob Toledo (6-6),Sun Bowl-L,,UCLA
1999,Pac-10,4,7,0.0,0.364,2,6,0,0.25,-2.01,3.62,16.0,14.0,,Bob Toledo (4-7),,,UCLA
1998,Pac-10,10,2,0.0,0.833,8,0,0,1.0,17.4,6.4,7.0,2.0,8.0,Bob Toledo (10-2),Rose Bowl-L,,UCLA
1997,Pac-10,10,2,0.0,0.833,7,1,0,0.875,19.12,6.2,,5.0,5.0,Bob Toledo (10-2),Cotton Bowl-W,,UCLA
1996,Pac-10,5,6,0.0,0.455,4,4,0,0.5,6.12,6.94,,,,Bob Toledo (5-6),,,UCLA
1995,Pac-10,7,5,0.0,0.583,4,4,0,0.5,6.9,3.73,16.0,12.0,,Terry Donahue (7-5),Aloha Bowl-L,,UCLA
1994,Pac-10,5,6,0.0,0.455,3,5,0,0.375,1.39,5.94,14.0,13.0,,Terry Donahue (5-6),,,UCLA
1993,Pac-10,8,4,0.0,0.667,6,2,0,0.75,15.97,8.64,,10.0,18.0,Terry Donahue (8-4),Rose Bowl-L,,UCLA
1992,Pac-10,6,5,0.0,0.545,3,5,0,0.375,4.14,4.95,18.0,11.0,,Terry Donahue (6-5),,,UCLA
1991,Pac-10,9,3,0.0,0.75,6,2,0,0.75,13.43,5.52,24.0,19.0,19.0,Terry Donahue (9-3),Sun Bowl-W,,UCLA
1990,Pac-10,5,6,0.0,0.455,4,4,0,0.5,5.53,7.71,19.0,19.0,,Terry Donahue (5-6),,,UCLA
1989,Pac-10,3,7,1.0,0.318,2,5,1,0.313,3.68,7.68,9.0,6.0,,Terry Donahue (3-7-1),,,UCLA
1988,Pac-10,10,2,0.0,0.833,6,2,0,0.75,17.94,6.19,5.0,1.0,6.0,Terry Donahue (10-2),Cotton Bowl-W,,UCLA
1987,Pac-10,10,2,0.0,0.833,7,1,0,0.875,19.17,5.0,3.0,3.0,9.0,Terry Donahue (10-2),Aloha Bowl-W,,UCLA
1986,Pac-10,8,3,1.0,0.708,5,2,1,0.688,19.16,8.83,4.0,4.0,14.0,Terry Donahue (8-3-1),Freedom Bowl-W,,UCLA
1985,Pac-10,9,2,1.0,0.792,6,2,0,0.75,17.22,5.8,20.0,7.0,7.0,Terry Donahue (9-2-1),Rose Bowl-W,,UCLA
1984,Pac-10,9,3,0.0,0.75,5,2,0,0.7140000000000001,6.32,2.15,5.0,4.0,9.0,Terry Donahue (9-3),Fiesta Bowl-W,,UCLA
1983,Pac-10,7,4,1.0,0.625,6,1,1,0.813,10.83,7.66,20.0,17.0,17.0,Terry Donahue (7-4-1),Rose Bowl-W,,UCLA
1982,Pac-10,10,1,1.0,0.875,5,1,1,0.7859999999999999,21.66,8.33,20.0,5.0,5.0,Terry Donahue (10-1-1),Rose Bowl-W,,UCLA
1981,Pac-10,7,4,1.0,0.625,5,2,1,0.688,14.35,7.35,13.0,6.0,,Terry Donahue (7-4-1),Bluebonnet Bowl-L,,UCLA
1980,Pac-10,9,2,0.0,0.818,5,2,0,0.7140000000000001,18.52,6.06,,2.0,13.0,Terry Donahue (9-2),,,UCLA
1979,Pac-10,5,6,0.0,0.455,3,4,0,0.429,11.13,11.22,,17.0,,Terry Donahue (5-6),,,UCLA
1978,Pac-10,8,3,1.0,0.708,6,2,0,0.75,15.42,9.17,12.0,8.0,14.0,Terry Donahue (8-3-1),Fiesta Bowl-T,,UCLA
1977,Pac-8,7,4,0.0,0.636,5,2,0,0.7140000000000001,12.81,7.27,11.0,11.0,,Terry Donahue (7-4),,record adjusted to 0-11-0 by NCAA,UCLA
1976,Pac-8,9,2,1.0,0.792,6,1,0,0.857,17.36,5.11,17.0,2.0,15.0,Terry Donahue (9-2-1),Liberty Bowl-L,,UCLA
1975,Pac-8,9,2,1.0,0.792,6,1,0,0.857,16.04,7.79,14.0,5.0,5.0,Dick Vermeil (9-2-1),Rose Bowl-W,,UCLA
1974,Pac-8,6,3,2.0,0.636,4,2,1,0.643,8.04,3.4,12.0,12.0,,Dick Vermeil (6-3-2),,,UCLA
1973,Pac-8,9,2,0.0,0.818,6,1,0,0.857,19.45,5.45,10.0,8.0,12.0,Pepper Rodgers (9-2),,,UCLA
1972,Pac-8,8,3,0.0,0.727,5,2,0,0.7140000000000001,16.34,9.16,,6.0,15.0,Pepper Rodgers (8-3),,,UCLA
1971,Pac-8,2,7,1.0,0.25,1,4,1,0.25,2.09,8.69,15.0,15.0,,Pepper Rodgers (2-7-1),,,UCLA
1970,Pac-8,6,5,0.0,0.545,4,3,0,0.5710000000000001,15.97,13.97,18.0,13.0,,Tommy Prothro (6-5),,,UCLA
1969,Pac-8,8,1,1.0,0.85,5,1,1,0.7859999999999999,20.69,5.19,17.0,6.0,13.0,Tommy Prothro (8-1-1),,,UCLA
1968,Pac-8,3,7,0.0,0.3,2,4,0,0.33299999999999996,0.43,8.23,16.0,8.0,,Tommy Prothro (3-7),,,UCLA
1967,AAWU,7,2,1.0,0.75,4,1,1,0.75,16.46,7.36,8.0,1.0,,Tommy Prothro (7-2-1),,,UCLA
1966,AAWU,9,1,0.0,0.9,3,1,0,0.75,15.64,3.24,4.0,2.0,5.0,Tommy Prothro (9-1),,,UCLA
1965,AAWU,8,2,1.0,0.773,4,0,0,1.0,21.11,14.56,,4.0,4.0,Tommy Prothro (8-2-1),Rose Bowl-W,,UCLA
1964,AAWU,4,6,0.0,0.4,2,2,0,0.5,4.83,12.43,,,,Bill Barnes (4-6),,,UCLA
1963,AAWU,2,8,0.0,0.2,2,2,0,0.5,-0.42,11.38,,,,Bill Barnes (2-8),,,UCLA
1962,AAWU,4,6,0.0,0.4,1,3,0,0.25,3.05,4.85,,,,Bill Barnes (4-6),,,UCLA
1961,AAWU,7,4,0.0,0.636,3,1,0,0.75,7.9,3.9,,9.0,,Bill Barnes (7-4),Rose Bowl-L,,UCLA
1960,AAWU,7,2,1.0,0.75,2,2,0,0.5,13.21,4.41,,8.0,,Bill Barnes (7-2-1),,,UCLA
1959,AAWU,5,4,1.0,0.55,3,1,0,0.75,7.57,7.37,,17.0,,Bill Barnes (5-4-1),,,UCLA
1958,PCC,3,6,1.0,0.35,2,4,1,0.35700000000000004,0.95,4.95,,,,George Dickerson (1-2) Bill Barnes (2-4-1),,,UCLA
1957,PCC,8,2,0.0,0.8,5,2,0,0.7140000000000001,12.1,3.8,,15.0,,Red Sanders (8-2),,,UCLA
1956,PCC,7,3,0.0,0.7,5,2,0,0.7140000000000001,10.99,7.59,17.0,17.0,,Red Sanders (7-3),,,UCLA
1955,PCC,9,2,0.0,0.818,6,0,0,1.0,23.59,10.14,1.0,1.0,4.0,Red Sanders (9-2),Rose Bowl-L,,UCLA
1954,PCC,9,0,0.0,1.0,6,0,0,1.0,19.95,0.06,8.0,1.0,2.0,Red Sanders (9-0),,,UCLA
1953,PCC,8,2,0.0,0.8,6,1,0,0.857,18.17,6.97,4.0,4.0,5.0,Red Sanders (8-2),Rose Bowl-L,,UCLA
1952,PCC,8,1,0.0,0.889,5,1,0,0.833,23.88,9.88,18.0,3.0,6.0,Red Sanders (8-1),,,UCLA
