Rk,Year,Conf,Overall W,Overall L,Overall T,Overall Pct,Conference W,Conference L,Conference T,Conference Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2022,Pac-12,5,0,,1,3,0,0,1,17.37,0.37,14,6,,Lincoln Riley (5-0),,
2,2021,Pac-12,4,8,0,0.333,3,6,0,0.333,-1.7,1.8,15,14,,Clay Helton (1-1) Donte Williams (3-7),,
3,2020,Pac-12,5,1,0,0.833,5,0,0,1,5.32,-3.68,17,13,21,Clay Helton (5-1),,
4,2019,Pac-12,8,5,0,0.615,7,2,0,0.778,8.87,5.64,,21,,Clay Helton (8-5),Holiday Bowl-L,
5,2018,Pac-12,5,7,0,0.417,4,5,0,0.444,2.22,3.39,15,15,,Clay Helton (5-7),,
6,2017,Pac-12,11,3,0,0.786,8,1,0,0.889,12.37,5.09,4,4,12,Clay Helton (11-3),Cotton Bowl-L,
7,2016,Pac-12,10,3,0,0.769,7,2,0,0.778,17.27,7.04,20,3,3,Clay Helton (10-3),Rose Bowl-W,
8,2015,Pac-12,8,6,0,0.571,6,3,0,0.667,11.53,7.39,8,6,,Steve Sarkisian (3-2) Clay Helton (5-4),Holiday Bowl-L,
8,2015,Pac-12,8,6,0,0.571,6,3,0,0.667,11.53,7.39,8,6,,Steve Sarkisian (3-2) Clay Helton (5-4),Holiday Bowl-L,
9,2014,Pac-12,9,4,0,0.692,6,3,0,0.667,14.39,5.93,15,9,20,Steve Sarkisian (9-4),Holiday Bowl-W,
10,2013,Pac-12,10,4,0,0.714,6,3,0,0.667,13.72,6.22,24,19,19,Lane Kiffin (3-2) Ed Orgeron (6-2) Clay Helton (1-0),Las Vegas Bowl-W,
11,2012,Pac-12,7,6,0,0.538,5,4,0,0.556,10.53,5.76,1,1,,Lane Kiffin (7-6),Sun Bowl-L,
12,2011,Pac-12,10,2,0,0.833,7,2,0,0.778,14.16,3.49,25,5,6,Lane Kiffin (10-2),,
13,2010,Pac-10,8,5,0,0.615,5,4,0,0.556,9.57,6.41,14,14,,Lane Kiffin (8-5),,
14,2009,Pac-10,9,4,0,0.692,5,4,0,0.556,9.11,3.95,4,3,22,Pete Carroll (9-4),Emerald Bowl-W,
15,2008,Pac-10,12,1,0,0.923,8,1,0,0.889,22.24,3.86,3,1,3,Pete Carroll (12-1),Rose Bowl-W,
16,2007,Pac-10,11,2,0,0.846,7,2,0,0.778,18.1,4.33,1,1,3,Pete Carroll (11-2),Rose Bowl-W,
17,2006,Pac-10,11,2,0,0.846,7,2,0,0.778,20.36,7.9,6,2,4,Pete Carroll (11-2),Rose Bowl-W,
18,2005,Pac-10,12,1,0,0.923,8,0,0,1,24.57,6.8,1,1,2,Pete Carroll (12-1),Rose Bowl-L,record adjusted to 0-1-0 by NCAA
19,2004,Pac-10,13,0,0,1,8,0,0,1,26.06,8.22,1,1,1,Pete Carroll (13-0),Orange Bowl-W,record adjusted to 11-0-0 by NCAA
20,2003,Pac-10,12,1,0,0.923,7,1,0,0.875,23.14,3.6,8,1,1,Pete Carroll (12-1),Rose Bowl-W,
21,2002,Pac-10,11,2,0,0.846,7,1,0,0.875,24.19,9.49,20,4,4,Pete Carroll (11-2),Orange Bowl-W,
22,2001,Pac-10,6,6,0,0.5,5,3,0,0.625,8.92,4.67,,,,Pete Carroll (6-6),Las Vegas Bowl-L,
23,2000,Pac-10,5,7,0,0.417,2,6,0,0.25,4.37,6.45,15,8,,Paul Hackett (5-7),,
24,1999,Pac-10,6,6,0,0.5,3,5,0,0.375,4.62,1.95,19,16,,Paul Hackett (6-6),,
25,1998,Pac-10,8,5,0,0.615,5,3,0,0.625,12.73,6.12,,18,,Paul Hackett (8-5),Sun Bowl-L,
